2026-03-05 13:37:56,560 - INFO - Iniciando AI Data Cleaner...
2026-03-05 13:37:56,561 - INFO - Descargando sap_consumo_diario_resumen desde 2025-03-05...
2026-03-05 13:38:21,047 - INFO - Total registros crudos: 45925
2026-03-05 13:38:21,048 - INFO - Procesando 3038 SKUs...
2026-03-05 13:38:21,056 - ERROR - Error procesando SKU 408143: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,059 - ERROR - Error procesando SKU 401728: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,061 - ERROR - Error procesando SKU 400606: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,063 - ERROR - Error procesando SKU 408850: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,065 - ERROR - Error procesando SKU 300087: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,067 - ERROR - Error procesando SKU 401139: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,070 - ERROR - Error procesando SKU 408148: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,072 - ERROR - Error procesando SKU 400115: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,074 - ERROR - Error procesando SKU 303290: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,076 - ERROR - Error procesando SKU 400105: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,078 - ERROR - Error procesando SKU 300004: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,080 - ERROR - Error procesando SKU 402675: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,082 - ERROR - Error procesando SKU 400007: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,085 - ERROR - Error procesando SKU 400103: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,088 - ERROR - Error procesando SKU 408710: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,094 - ERROR - Error procesando SKU 402080: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,096 - ERROR - Error procesando SKU 403150: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,098 - ERROR - Error procesando SKU 400413: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,101 - ERROR - Error procesando SKU 401030: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,104 - ERROR - Error procesando SKU 304024: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,106 - ERROR - Error procesando SKU 401412: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,108 - ERROR - Error procesando SKU 400079: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,111 - ERROR - Error procesando SKU 401399: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,113 - ERROR - Error procesando SKU 303508: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,115 - ERROR - Error procesando SKU 400125: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,117 - ERROR - Error procesando SKU 400412: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,119 - ERROR - Error procesando SKU 304529: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,121 - ERROR - Error procesando SKU 405384: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,123 - ERROR - Error procesando SKU 400147: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,126 - ERROR - Error procesando SKU 401294: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,128 - ERROR - Error procesando SKU 403059: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,130 - ERROR - Error procesando SKU 401160: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,132 - ERROR - Error procesando SKU 409074: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,134 - ERROR - Error procesando SKU 404506: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,137 - ERROR - Error procesando SKU 401345: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,139 - ERROR - Error procesando SKU 408016: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,141 - ERROR - Error procesando SKU 402639: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,143 - ERROR - Error procesando SKU 409242: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,145 - ERROR - Error procesando SKU 303006: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,147 - ERROR - Error procesando SKU 303452: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,149 - ERROR - Error procesando SKU 404791: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,152 - ERROR - Error procesando SKU 402673: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,156 - ERROR - Error procesando SKU 302996: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,158 - ERROR - Error procesando SKU 402679: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,160 - ERROR - Error procesando SKU 400461: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,162 - ERROR - Error procesando SKU 408717: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,164 - ERROR - Error procesando SKU 408945: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,166 - ERROR - Error procesando SKU 408991: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,172 - ERROR - Error procesando SKU 408918: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,175 - ERROR - Error procesando SKU 402743: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,177 - ERROR - Error procesando SKU 411258: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,179 - ERROR - Error procesando SKU 408895: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,181 - ERROR - Error procesando SKU 409586: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,182 - ERROR - Error procesando SKU 404398: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,185 - ERROR - Error procesando SKU 408751: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,188 - ERROR - Error procesando SKU 403204: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,191 - ERROR - Error procesando SKU 400444: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,193 - ERROR - Error procesando SKU 403210: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,195 - ERROR - Error procesando SKU 404734: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,197 - ERROR - Error procesando SKU 402032: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,199 - ERROR - Error procesando SKU 406227: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,201 - ERROR - Error procesando SKU 303888: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,205 - ERROR - Error procesando SKU 402805: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,207 - ERROR - Error procesando SKU 403967: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
