2026-02-17 14:18:00 - INFO - Starting sync_demanda_proyectada from: D:\OneDrive - CORPORACIÓN ACEROS AREQUIPA SA\PCP - General\2. CONTROL\ESTADISTICA ANUAL - HISTORICO\Reporte de seguimiento y coberturas\PO Histórico.xlsx
2026-02-17 14:18:00 - INFO - Copied file to temp: C:\Users\EPALLARC\AppData\Local\Temp\tmp1lh4xlus\po_historico_temp.xlsx
2026-02-17 14:18:02 - INFO - Read 43276 rows, columns: ['Org', 'Mdo', 'País', 'J1', 'Product Group', 'SKU ID', 'SKU Descripción', 'Observaciones', 'Mes', 'Cantidad']
2026-02-17 14:18:02 - INFO - Normalized columns: ['org', 'mdc', 'pais', 'j1', 'product_group', 'sku', 'sku descripción', 'observaciones', 'mes', 'cantidad_val']
2026-02-17 14:18:02 - INFO - Date filtering: 43276 -> 43276 rows (removed 0 without valid date)
2026-02-17 14:18:02 - INFO - Processing all 43276 rows with valid dates.
2026-02-17 14:18:02 - INFO - Prepared 43276 clean records for upload.
2026-02-17 14:18:02 - INFO - Mapped 43275 records to DB schema.
2026-02-17 14:18:03 - INFO - Truncated sap_demanda_proyectada successfully.
2026-02-17 14:18:04 - INFO - Uploaded demanda batch 1 (1000 records)
2026-02-17 14:18:05 - INFO - Uploaded demanda batch 2 (1000 records)
2026-02-17 14:18:06 - INFO - Uploaded demanda batch 3 (1000 records)
2026-02-17 14:18:06 - INFO - Uploaded demanda batch 4 (1000 records)
2026-02-17 14:18:07 - INFO - Uploaded demanda batch 5 (1000 records)
2026-02-17 14:18:08 - INFO - Uploaded demanda batch 6 (1000 records)
2026-02-17 14:18:08 - INFO - Uploaded demanda batch 7 (1000 records)
2026-02-17 14:18:09 - INFO - Uploaded demanda batch 8 (1000 records)
2026-02-17 14:18:09 - INFO - Uploaded demanda batch 9 (1000 records)
2026-02-17 14:18:10 - INFO - Uploaded demanda batch 10 (1000 records)
2026-02-17 14:18:11 - INFO - Uploaded demanda batch 11 (1000 records)
2026-02-17 14:18:11 - INFO - Uploaded demanda batch 12 (1000 records)
2026-02-17 14:18:12 - INFO - Uploaded demanda batch 13 (1000 records)
2026-02-17 14:18:13 - INFO - Uploaded demanda batch 14 (1000 records)
2026-02-17 14:18:13 - INFO - Uploaded demanda batch 15 (1000 records)
2026-02-17 14:18:14 - INFO - Uploaded demanda batch 16 (1000 records)
2026-02-17 14:18:14 - INFO - Uploaded demanda batch 17 (1000 records)
2026-02-17 14:18:15 - INFO - Uploaded demanda batch 18 (1000 records)
2026-02-17 14:18:16 - INFO - Uploaded demanda batch 19 (1000 records)
2026-02-17 14:18:16 - INFO - Uploaded demanda batch 20 (1000 records)
2026-02-17 14:18:17 - INFO - Uploaded demanda batch 21 (1000 records)
2026-02-17 14:18:17 - INFO - Uploaded demanda batch 22 (1000 records)
2026-02-17 14:18:18 - INFO - Uploaded demanda batch 23 (1000 records)
2026-02-17 14:18:19 - INFO - Uploaded demanda batch 24 (1000 records)
2026-02-17 14:18:19 - INFO - Uploaded demanda batch 25 (1000 records)
2026-02-17 14:18:20 - INFO - Uploaded demanda batch 26 (1000 records)
2026-02-17 14:18:21 - INFO - Uploaded demanda batch 27 (1000 records)
2026-02-17 14:18:21 - INFO - Uploaded demanda batch 28 (1000 records)
2026-02-17 14:18:22 - INFO - Uploaded demanda batch 29 (1000 records)
2026-02-17 14:18:22 - INFO - Uploaded demanda batch 30 (1000 records)
2026-02-17 14:18:23 - INFO - Uploaded demanda batch 31 (1000 records)
2026-02-17 14:18:24 - INFO - Uploaded demanda batch 32 (1000 records)
2026-02-17 14:18:24 - INFO - Uploaded demanda batch 33 (1000 records)
2026-02-17 14:18:25 - INFO - Uploaded demanda batch 34 (1000 records)
2026-02-17 14:18:25 - INFO - Uploaded demanda batch 35 (1000 records)
2026-02-17 14:18:26 - INFO - Uploaded demanda batch 36 (1000 records)
2026-02-17 14:18:27 - INFO - Uploaded demanda batch 37 (1000 records)
2026-02-17 14:18:27 - INFO - Uploaded demanda batch 38 (1000 records)
2026-02-17 14:18:28 - INFO - Uploaded demanda batch 39 (1000 records)
2026-02-17 14:18:28 - INFO - Uploaded demanda batch 40 (1000 records)
2026-02-17 14:18:29 - INFO - Uploaded demanda batch 41 (1000 records)
2026-02-17 14:18:30 - INFO - Uploaded demanda batch 42 (1000 records)
2026-02-17 14:18:30 - INFO - Uploaded demanda batch 43 (1000 records)
2026-02-17 14:18:31 - INFO - Uploaded demanda batch 44 (275 records)
2026-02-17 14:18:31 - INFO - Finished demanda sync. Total uploaded: 43275
